TargetWord,Prime,Unrelated,Length_Related,SubFreq_Related,LogSubFreq_Related,LogHAL_Related,OrthoN_Related,FreqGreater_Related,BGSum_Related,BGMean_Related,POS_Related,ELP_NT_RT_Related,ELP_N_Z_Related,ELP_NT_Acc_Related,Relation1_Related,Relation2_Related,FAS_Related,BAS_Related,CueFanOut_Related,LSA_Related,LSA_Unrelated,NT_200ms_RT_Related,NT_200ms_RT_Unrelated,NT_200ms_Z_Related,NT_200ms_Z_Unrelated,NT_200ms_Acc_Related,NT_200ms_Acc_Unrelated,NT_1200ms_RT_Related,NT_1200ms_RT_Unrelated,NT_1200ms_Z_Related,NT_1200ms_Z_Unrelated,NT_1200ms_Acc_Related,NT_1200ms_Acc,NT_200ms_RT_Priming_Related,NT_200ms_Z_Priming_Related,NT_200ms_Acc_Priming_Related,NT_1200ms_RT_Priming_Related,NT_1200ms_Z_Priming_Related,NT_1200ms_Acc_Priming_Related
try,EFFORT,MISCHIEF,6,19.35,2.99,10.54,0,,5197,1039.4,NN,606.86,-0.53,1,synonym,,0.462,0.062,18,0.37,0.12,446.875,528.4482759,-0.7024036198,-0.2984391331,1,1,467.0909091,448,-0.3542914145,-0.6680261828,1,1,81.57327586,0.4039644868,0,-19.09090909,-0.3137347683,0
tuesday,MONDAY,PATIENCE,6,33.29,3.23,9.93,0,,8289,1657.8,NN,621.42,-0.45,1,category,,0.353,0.088,17,0.78,0.19,558.3846154,587.6785714,-0.2570220617,0.5200219502,1,1,486.0666667,566.1071429,-0.3302150684,0.1474996892,1,1,29.29395604,0.7770440119,0,80.04047619,0.4777147575,0
tumble,GYMNASTICS,SCALE,10,1.53,1.9,6.45,0,,13952,1550.22,NN,731.04,-0.03,0.88,script,,0.106,0.028,21,0.09,0.03,568.0588235,575.2142857,0.1993298107,0.04598528914,1,0.9642857143,544.8636364,508.1282051,-0.05944309942,-0.1315262803,1,1,7.155462185,-0.1533445215,0.03571428571,-36.73543124,-0.07208318089,0
tupperware,CONTAINER,IMPLODE,9,4.29,2.34,8.59,1,1,28225,3528.13,NN,703.17,-0.07,1,supraordinate,,0.168,0.033,20,0.05,,590.1481481,580.6451613,0.6169254258,0.5298538437,0.962962963,0.9677419355,759.2962963,677.8333333,1.102860603,0.8439018319,1,1,-9.502986858,-0.08707158208,-0.004778972521,-81.46296296,-0.2589587707,0
turn,TWIST,SCARF,5,12.61,2.81,9.15,0,,6904,1726,NN|VB,606.61,-0.56,1,fpa,,0.275,0.05,17,0.35,0.18,473.4285714,518.8571429,-0.5320491876,-0.3564480566,1,1,488.0909091,511.9615385,-0.2175056621,-0.1584849791,1,1,45.42857143,0.175601131,0,23.87062937,0.05902068304,0
turtle,TORTOISE,ITEM,8,1.12,1.76,7.81,0,,11629,1661.29,NN,798.88,0.31,0.89,category,,0.493,0.055,7,0.26,0.01,553.6,524.7777778,-0.153556933,-0.2978539822,0.975,0.9444444444,481.1111111,516.5263158,-0.272146658,0.08309386956,1,1,-28.82222222,-0.1442970493,0.03055555556,35.41520468,0.3552405276,0
twelve,DOZEN,PLAZA,5,24.14,3.09,9.36,1,0,4941,1235.25,NN,566.11,-0.71,1,synonym,,0.484,0.048,4,0.55,0.19,536.7857143,528.2,-0.1971329216,-0.002850814549,1,1,473.037037,512.3571429,-0.3932688042,-0.2654326765,0.962962963,1,-8.585714286,0.1942821071,0,39.32010582,0.1278361277,-0.03703703704
two,PAIR,COMPACT,4,37.25,3.28,10.05,6,4,2826,942,NN|VB|JJ,543.93,-0.72,1,synonym,,0.456,0.034,9,0.47,0.2,561.8823529,600.75,-0.463618593,-0.003284405933,1,1,528.5714286,448.575,-0.08615290122,-0.7088934689,1,1,38.86764706,0.4603341871,0,-79.99642857,-0.6227405676,0
ugly,WART,FIGURE,4,1.24,1.81,5.41,19,18,4632,1544,NN,583.79,-0.67,1,perceptual property,,0.174,0,22,0.17,0.08,537.4285714,483.5,-0.1598885679,-0.472244158,1,1,553.4242424,558.0952381,-0.03363944731,-0.3229251734,1,1,-53.92857143,-0.3123555902,0,4.670995671,-0.2892857261,0
uncle,AUNT,CEREAL,4,55.2,3.45,7.95,4,1,5342,1780.67,NN,669.5,-0.27,1,category,,0.746,0.706,3,0.82,0,520.8571429,504.96875,-0.2388124579,-0.2720530338,1,1,518.1,502.025641,-0.2459517235,-0.2239215224,1,1,-15.88839286,-0.03324057594,0,-16.07435897,0.02203020109,0
unclear,FOGGY,PLAIN,5,1.29,1.83,6.38,3,1,1470,367.5,JJ,595.48,-0.43,1,synonym,,0.122,0,22,0,0.05,584.3076923,500.6071429,0.3714038073,-0.1690721272,1,1,569.5405405,529.0869565,0.45935567,0.1845777954,1,1,-83.70054945,-0.5404759345,0,-40.45358402,-0.2747778746,0
